time_offset,end_time,speed,pkg_name,start_time,count,sample_position_type,calorie,distance,datauuid,deviceuuid,update_time,create_time
19800000,57:00.0,1.6388888,com.sec.android.app.shealth,56:00.0,5,,0.2,3.2,7ba6b7d2-519c-41f9-8706-d3edafa3b0fc,MdS75U+XxL,23:57.0,23:55.8
19800000,57:00.0,1.6388888,com.sec.android.app.shealth,56:00.0,6,,0.24,4.78,7ba6b7d2-519c-41f9-8706-d3edafa3b0fc,MdS75U+XxL,23:57.0,23:55.8
19800000,57:00.0,0.9166667,com.sec.android.app.shealth,56:00.0,1,,0.04,0.58,9568572f-f33d-43ed-8dbd-aa7033744b3d,MdS75U+XxL,23:55.8,23:55.8
19800000,53:00.0,2.8888888,com.sec.android.app.shealth,52:00.0,25,,2.74,22.26,a144cb82-f4b1-4011-ae2c-7c8754273558,MdS75U+XxL,23:55.8,23:55.8
19800000,57:00.0,1.6944444,com.sec.android.app.shealth,56:00.0,12,,0.48,8.85,88278acc-964a-44ca-a4d7-bf696804582f,MdS75U+XxL,23:55.8,23:55.8
19800000,57:00.0,1.1111112,com.sec.android.app.shealth,56:00.0,1,,0.04,0.65,df67af3e-3395-4942-a929-0308b7b34bb5,MdS75U+XxL,23:55.8,23:55.8
19800000,24:00.0,3.5,com.sec.android.app.shealth,23:00.0,6,,1.84,6.32,ed6ceaa5-786a-4367-bfab-fa4d549a5ad6,MdS75U+XxL,23:56.8,23:56.8
19800000,24:00.0,4.4444447,com.sec.android.app.shealth,23:00.0,1,,0.11,1.33,77e6e00f-82e9-435c-8c78-b3243db1ee5c,MdS75U+XxL,23:56.8,23:56.8
19800000,24:00.0,0.8055556,com.sec.android.app.shealth,23:00.0,1,,0.06,0.54,4c6cd558-e460-4748-9d5c-c207b3de0f99,MdS75U+XxL,23:56.8,23:56.8
19800000,05:00.0,2.7777777,com.sec.android.app.shealth,04:00.0,29,,6.52,27.61,e139ba42-5ac2-4c7d-9484-404470a165e1,MdS75U+XxL,04:49.4,04:49.4
